BEA_CODE,YEAR,REL_P_EQ_DEVIATION
332,2012,1.5743100081465264
332,2013,1.5846984164220808
332,2014,1.6065134759494988
332,2015,1.6168153241830445
332,2016,1.634768929305205
332,2017,1.6525601099303446
332,2018,1.6796850658318325
332,2019,1.704974459286486
332,2020,1.7094900971390723
332,2021,1.7510616286542988
332,2022,1.7764970718232491
332,2023,1.7894762065228946
332,2024,1.8111367256117703
333,1947,1.3774382030792398
333,1948,1.3842898636797807
333,1949,1.4178068395377046
333,1950,1.4340378775720661
333,1951,1.4520657725806958
333,1952,1.4641499364859416
333,1953,1.4756101416442176
333,1954,1.4825513207394507
333,1955,1.4873147403305262
333,1956,1.519369881410412
333,1957,1.5277590108017844
333,1958,1.5238123357394628
333,1959,1.532186545827195
333,1960,1.540193440987739
333,1961,1.538152661738881
333,1962,1.5320399822877686
333,1963,1.520236293540391
333,1964,1.5093251039757065
333,1965,1.498781303077799
333,1966,1.464594340241852
333,1967,1.4333246170441565
333,1968,1.4068928457552377
333,1969,1.377655453877801
333,1970,1.3516387039360185
333,1971,1.2968830979049923
333,1972,1.2428360739274822
333,1973,1.2217253723058725
333,1974,1.1657360400704901
333,1975,1.1552956170091866
333,1976,1.1248991355703133
333,1977,1.1147638798925428
333,1978,1.07340124030868
333,1979,1.0590104503409163
333,1980,1.042617496421822
333,1981,1.0239519613230874
333,1982,1.010860475167067
333,1983,1.001757603783914
333,1984,0.9950322083663632
333,1985,0.9958671833573994
333,1986,0.996106404460487
333,1987,1.0
333,1988,1.0001397867036994
333,1989,0.9980379067170673
333,1990,0.9964328297565859
333,1991,0.9928267118232548
333,1992,0.9820247931963708
333,1993,0.9757268190680904
333,1994,0.9771406293005038
333,1995,0.9807051550029208
333,1996,0.9841583185363724
333,1997,0.9909373470207743
333,1998,1.0054059361625651
333,1999,1.017776381902795
333,2000,1.0294884093721024
333,2001,1.0443569176839012
333,2002,1.056637183823895
333,2003,1.0769307409832543
333,2004,1.0990207514737658
333,2005,1.123527572703723
333,2006,1.1409456515015168
333,2007,1.1593006702030482
333,2008,1.1905230419429125
333,2009,1.2100689093782915
333,2010,1.2291770742834027
333,2011,1.2476994444278842
333,2012,1.2650323034936266
333,2013,1.2755997607905354
333,2014,1.2921774763441878
333,2015,1.3017640864848374
333,2016,1.3166878743157555
333,2017,1.3310191453379596
333,2018,1.3465017873757354
333,2019,1.3676494667695744
333,2020,1.3750168945405183
333,2021,1.3869874771183117
333,2022,1.3993512964598462
333,2023,1.4179324342388404
333,2024,1.4316639419229533
334,1947,1.1754735142361041
334,1948,1.168318439243452
334,1949,1.1911836898180248
